"OSSLT_First_Attempt_PassRate","School_Type","School_Language","Special_Ed_Pct","No_Parent_Degree_Pct","Low_Income_Pct"
77,"Public","English",30,10,20
69,"Public","English",40,10,0
75,"Public","English",25,5,20
77,"Public","English",19,8,13
62,"Public","English",25,0,5
70,"Public","English",24,4,15
73,"Public","English",35,10,15
56,"Public","English",40,5,10
88,"Catholic","English",29,1,7
84,"Catholic","English",30,5,20
77,"Catholic","English",31,3,16
89,"Catholic","English",30,10,15
90,"Catholic","English",23,5,13
87,"Public","English",25,0,10
69,"Public","English",25,19,17
90,"Public","English",30,10,10
78,"Public","English",18,17,8
81,"Public","English",10,0,10
83,"Public","English",25,10,10
88,"Public","English",20,0,10
78,"Public","English",22,6,8
81,"Public","English",25,10,15
81,"Public","English",30,5,15
66,"Public","English",30,10,11
67,"Public","English",39,14,12
90,"Public","English",30,5,9
67,"Public","English",34,6,15
78,"Public","English",40,10,10
89,"Public","English",33,7,12
71,"Public","English",40,10,10
85,"Catholic","English",16,4,12
79,"Catholic","English",15,8,10
90,"Catholic","English",14,4,11
75,"Catholic","English",25,10,20
83,"Catholic","English",31,9,11
81,"Catholic","English",22,7,14
87,"Catholic","English",25,10,20
94,"Catholic","English",37,2,9
84,"Catholic","English",35,0,5
78,"Catholic","English",40,5,15
84,"Catholic","English",33,9,17
90,"Catholic","English",25,5,10
23,"Catholic","English",95,10,30
92,"Catholic","English",30,5,10
33,"Catholic","English",100,10,20
89,"Catholic","English",32,1,5
100,"Public","French",15,10,30
96,"Public","French",20,10,10
95,"Public","French",15,0,15
100,"Public","French",20,5,20
94,"Public","French",25,10,25
95,"Public","French",10,10,20
95,"Public","French",20,5,10
100,"Public","French",15,0,10
88,"Public","French",25,5,10
92,"Public","French",10,10,15
100,"Public","French",15,10,20
96,"Public","French",15,10,30
94,"Public","French",10,10,30
82,"Catholic","French",25,10,20
86,"Catholic","French",15,15,25
98,"Catholic","French",25,10,10
91,"Catholic","French",10,10,30
93,"Catholic","French",20,5,10
98,"Catholic","French",15,5,11
95,"Catholic","French",20,5,10
98,"Catholic","French",15,10,20
91,"Catholic","French",30,0,10
99,"Catholic","French",13,5,14
98,"Catholic","French",15,0,10
89,"Public","French",40,0,10
78,"Public","French",30,0,10
79,"Public","French",40,10,10
74,"Public","French",40,10,10
63,"Public","French",35,10,15
88,"Catholic","French",30,0,15
80,"Catholic","French",20,5,10
99,"Catholic","French",20,0,5
89,"Catholic","French",23,3,8
91,"Catholic","French",25,5,20
88,"Catholic","French",35,5,15
95,"Catholic","French",30,0,9
94,"Catholic","French",30,0,10
97,"Catholic","French",30,0,15
93,"Catholic","French",25,0,10
96,"Catholic","French",10,10,0
89,"Catholic","French",15,0,15
86,"Catholic","French",25,5,15
75,"Catholic","French",25,10,10
76,"Catholic","French",21,8,12
94,"Catholic","French",30,0,10
96,"Catholic","French",26,1,6
89,"Catholic","French",15,9,20
94,"Catholic","French",19,9,23
92,"Catholic","French",24,3,6
95,"Catholic","French",25,5,10
98,"Catholic","French",20,3,8
94,"Catholic","French",22,2,6
95,"Catholic","French",22,1,8
97,"Catholic","French",20,0,10
94,"Catholic","French",22,9,27
73,"Catholic","French",80,0,10
90,"Catholic","French",10,5,15
74,"Catholic","French",20,0,10
92,"Catholic","French",20,10,20
79,"Catholic","French",30,0,0
96,"Catholic","French",20,0,5
74,"Catholic","French",35,0,10
93,"Catholic","French",30,5,15
86,"Catholic","French",24,6,10
88,"Catholic","French",20,5,20
84,"Catholic","French",20,10,10
86,"Catholic","French",30,0,10
84,"Catholic","French",25,10,10
97,"Public","French",18,5,20
93,"Public","French",12,3,12
90,"Public","French",30,0,5
56,"Public","French",20,10,30
89,"Public","French",25,10,20
89,"Public","French",15,5,20
97,"Public","French",7,8,21
91,"Public","French",20,0,0
97,"Public","French",20,5,10
96,"Public","French",20,0,10
68,"Public","French",10,20,35
97,"Public","French",10,5,10
92,"Public","English",16,6,12
